Iteracao,Tempo de Execucao,Memoria Atual,Memoria Pico,Mochila,Valor Total
0,0.0,0.003712,0.006024,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
1,0.0,0.003,0.005096,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
2,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
3,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
4,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
5,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
6,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
7,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
8,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
9,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
